project,month,status,active_devs,num_commits,num_committers,num_files,num_emails,num_senders,num_respondents,skew_c,skew_e,c_percentage,e_percentage,inactive_c,inactive_e,c_nodes,c_edges,c_c_coef,c_mean_degree,c_long_tail,c_triangles,e_nodes,e_edges,e_c_coef,e_mean_degree,e_long_tail,e_triangles,e_bidirected_edges
120,1,Graduated,11,15,1,15,77,10,10,0,-0.6199353306594738,1.0,0.4805194805194805,0.0,0.2692307692307692,0,0,0,0,0,0,10,20,0.6116666666666666,4.0,4,10.0,24
120,2,Graduated,9,48,1,41,27,8,10,6.550687171382362,1.8299227228503485,1.0,0.6666666666666666,0.875,0.7037037037037037,0,0,0,0,0,0,10,11,0.20357142857142857,2.2,1,1.0,15
120,3,Graduated,15,153,1,42,201,14,14,-0.30661784737071085,-0.49469586650996755,1.0,0.835820895522388,0.3333333333333333,0.1724137931034483,0,0,0,0,0,0,15,21,0.22727272727272727,2.8,2,7.0,27
120,4,Graduated,13,210,2,47,331,11,10,0.6219474338782881,0.7074357769844055,0.9952380952380953,0.8277945619335347,0.27586206896551724,0.13793103448275862,2,1,0.0,1.0,0,0.0,11,19,0.5277777777777778,3.4545454545454546,4,6.0,25
120,5,Graduated,8,97,1,45,217,7,7,0.016598483862950847,0.35929003052069086,1.0,0.6451612903225806,0.5357142857142857,0.1724137931034483,0,0,0,0,0,0,7,9,0.3,2.5714285714285716,2,1.0,15
120,6,Graduated,10,139,1,67,281,9,11,-0.42839192503526685,0.3469311074777892,1.0,0.6192170818505338,0.2222222222222222,0.07142857142857142,0,0,0,0,0,0,11,14,0.3686868686868687,2.5454545454545454,2,2.0,15
120,7,Graduated,8,138,2,50,252,6,5,-0.4725307477795072,-0.28746373007539844,0.9782608695652174,0.7023809523809523,0.2413793103448276,0.13793103448275862,2,1,0.0,1.0,0,0.0,6,8,0.36111111111111116,2.6666666666666665,2,1.0,11
120,8,Graduated,9,81,2,31,119,7,7,-0.6415059917365334,-0.8700781500162644,0.9506172839506173,0.6386554621848739,0.5862068965517241,0.35714285714285715,2,1,0.0,1.0,0,0.0,7,11,0.6,3.142857142857143,3,2.0,14
120,9,Graduated,8,43,1,30,74,7,7,-1.3516541363355052,-1.0470606083742884,1.0,0.7162162162162162,0.625,0.35714285714285715,0,0,0,0,0,0,7,8,0.3,2.2857142857142856,1,1.0,14
120,10,Graduated,10,84,2,39,176,8,9,0.2165995034273096,0.24698636304315272,0.9642857142857143,0.7159090909090909,0.52,0.14285714285714285,2,1,0.0,1.0,0,0.0,9,12,0.4592592592592592,2.6666666666666665,2,2.0,15
